Client Name:  Marketocracy Capital Management, LLC,,,,,
Folio Name:  FOLIOfn: whimelsein_LFF,,,,,,
Folio Number:  9A1525900D01,,,,,,
Download Date:  10/15/2018,,,,,,
,,,,,,
Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/12/2018,299704.3496,0,0,0,3.15629,3.15629
10/11/2018,290534.2367,0,0,0,-1.81133,-1.81133
10/10/2018,295893.8577,0,0,0,-5.83743,-5.83743
10/9/2018,314237.2263,0,0,0,-0.18644,-0.18644
10/8/2018,314824.186,0,0,0,-1.41739,-1.41739
10/5/2018,319350.6288,0,0,0,-2.58369,-2.58369
10/4/2018,327820.4916,0.00222,0,0,-1.08286,-1.08286
10/3/2018,331409.1934,0,0,0,0.51742,0.51742
10/2/2018,329703.2396,0,0,0,-1.35631,-1.35631
10/1/2018,334236.5269,0,0,0,0.32211,0.32211
9/28/2018,333163.3809,0,0,0,0.34732,0.34732
9/27/2018,332010.2395,-0.00188,0,0,0.24595,0.24595
9/26/2018,331195.6703,0.00016,0,0,0.17519,0.17519
9/25/2018,330387.3989,0,229.04969,0,0.9538,0.9538
9/24/2018,327263.7693,0,229.04969,0,2.40301,2.40301
9/21/2018,319578.771,-0.00026,229.04969,0,-0.18476,-0.18476
9/20/2018,320153.8395,-0.00024,245.96081,0,-0.05095,-0.05095
9/19/2018,320175.7438,0,387.39774,0,-1.16283,-1.16283
9/18/2018,323947.2165,0,387.39774,0,1.00364,1.00364
9/17/2018,320724.4004,0,387.39774,0,-2.5467,-2.5467
9/14/2018,329115.8475,0,387.39774,0,1.19365,1.19365
9/13/2018,325229.1417,0,387.39774,0,-0.51991,-0.51991
9/12/2018,326930.8989,0,387.39774,0,1.02959,1.02959
9/11/2018,323595.2019,0,387.39774,0,1.10961,1.10961
9/10/2018,320268.7526,0,158.34805,0,2.04255,2.04255
9/7/2018,313854.8695,0,158.34805,0,-0.811,-0.811
9/6/2018,316422.3384,0,158.34805,0,-0.88715,-0.88715
9/5/2018,319256.0232,0,158.34805,0,-2.45511,-2.45511
9/4/2018,327295.3877,0,158.34805,0,2.11998,2.11998
8/31/2018,320497.5315,0,158.34805,0,0.46349,0.46349
8/30/2018,319018.1716,0,158.34805,0,0.40392,0.40392
8/29/2018,317734.1338,0,158.34805,0,1.14395,1.14395
8/28/2018,314155.6395,0,141.43693,0,0.13536,0.13536
8/27/2018,313730.7899,0,141.43693,0,1.32047,1.32047
8/24/2018,309640.2224,0,141.43693,0,2.27309,2.27309
8/23/2018,302755.1019,0,141.43693,0,1.28981,1.28981
8/22/2018,298898.0573,0,141.43693,0,1.21972,1.21972
8/21/2018,295435.9947,0,0,0,1.19919,1.19919
8/20/2018,291935.1376,0,0,0,1.17986,1.17986
8/17/2018,288530.8767,0,0,0,-0.20455,-0.20455
8/16/2018,289122.2677,0,0,0,0.26354,0.26354
8/15/2018,288362.3203,0,0,0,-2.4238,-2.4238
8/14/2018,295525.2629,0,0,0,1.10315,1.10315
8/13/2018,291942.1795,0,358.57604,0,-0.4158,-0.4158
8/10/2018,293162.6266,0,358.57604,0,-0.12739,-0.12739
